date,event,violent_or_natural,cause,deaths_per_day,estimated_over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
06/01/1862,Seven Pines,violent,War,5582,4720.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
12/15/1864,Nashville,violent,War,4530,3668.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
12/16/1864,Nashville,violent,War,4530,3668.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/19/1864,Cedar Creek,violent,War,8674,7812.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
09/19/1864,Opequon (3rd Winchester),violent,War,8630,7768.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
11/30/1864,Franklin,violent,War,8578,7716.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/01/1862,Malvern Hill,violent,War,7750,6888.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
01/02/1865,3rd Petersburg,violent,War,7750,6888.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/08/1862,Perryville,violent,War,7677,6815.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
06/30/1862,Glendale,violent,War,7470,6608.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/03/1862,2nd Corinth,violent,War,3376,2514.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
10/04/1862,2nd Corinth,violent,War,3376,2514.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/20/1864,Peachtree Creek,violent,War,6506,5644.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
05/16/1863,Champion Hill,violent,War,6297,5435.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/30/1864,The Crater,violent,War,5289,4427.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
03/25/1865,Fort Stedman,violent,War,5044,4182.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
09/14/1862,South Mountain,violent,War,5010,4148.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
07/21/1861,1st Bull Run,violent,War,4878,4016.539123,861.4608767,314433.22,0.01,31443322,"https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles, https://en.wikipedia.org/wiki/1860_United_States_census"
,,,,,,,,,,
,,,,,,,,,,
